source,target
the,the
of,का
and,तथा
to,सेवा
a,ए
in,में
for,के लिये
is,है
on,पर
that,उस
by,द्वारा
this,यह
with,साथ में
i,मैं
you,आप
it,यह
not,नहीं
or,या
be,होना
are,कर रहे हैं
from,से
at,पर
as,जैसा
your,तुम्हारी
all,सब
have,है
new,नया
more,अधिक
an,एक
was,था
we,हम
will,मर्जी
home,घर
can,कर सकते हैं
us,अमेरिका
about,के बारे में
if,अगर
page,पृष्ठ
my,मेरे
has,है
search,खोज
free,नि: शुल्क
but,परंतु
our,हमारी
one,एक
other,अन्य
do,कर
no,नहीं
information,जानकारी
time,समय
they,वे
site,साइट
he,वह
up,यूपी
may,मई
what,क्या
which,कौन कौन से
their,जो अपने
news,समाचार
out,बाहर
use,उपयोग
any,कोई भी
there,वहाँ
see,देख
only,केवल
so,इसलिए
his,उनके
when,कब
contact,संपर्क करें
here,यहाँ
business,व्यापार
who,who
web,वेब
also,भी
now,अभी
help,मदद
get,प्राप्त
pm,बजे
view,राय
online,ऑनलाइन
c,सी
e,इ
first,प्रथम
am,बजे
been,गया
would,चाहेंगे
how,किस तरह
were,थे
me,मुझे
s,रों
services,सेवाएं
some,कुछ
these,इन
click,क्लिक
its,आईटी इस
like,पसंद
service,सर्विस
x,एक्स
than,से
find,खोज
price,कीमत
date,दिनांक
back,वापस
top,ऊपर
people,लोग
had,था
list,सूची
name,नाम
just,केवल
over,ऊपर
state,राज्य
year,साल
day,दिन
into,जांच
email,ईमेल
two,दो
health,स्वास्थ्य
n,n
world,विश्व
re,पुन
next,आगे
used,उपयोग किया गया
go,जाओ
b,ख
work,काम
last,पिछले
most,अधिकांश
products,उत्पादों
music,संगीत
buy,खरीद
data,डेटा
make,बनाना
them,उन्हें
should,चाहिए
product,उत्पाद
system,प्रणाली
post,पद
her,उसके
city,Faridabad
t,टी
add,जोड़ना
policy,नीति
number,संख्या
such,ऐसा
please,कृप्या
available,उपलब्ध
copyright,कॉपीराइट
support,सहयोग
message,संदेश
after,उपरांत
best,श्रेष्ठ
software,सॉफ्टवेयर
then,फिर
jan,जनवरी
good,अच्छा
video,वीडियो
well,कुंआ
d,घ
where,कहाँ पे
info,जानकारी
rights,अधिकार
public,जनता
books,पुस्तकें
high,उच्च
school,स्कूल
through,के माध्यम से
m,म
each,से प्रत्येक
links,लिंक
she,वह
review,समीक्षा
years,वर्षों
order,गण
very,बहुत
privacy,एकांत
book,पुस्तक
items,आइटम
company,कंपनी
r,आर
read,पढ़ना
group,समूह
sex,लिंग
need,जरुरत
many,अनेक
user,उपयोगकर्ता
said,कहा हुआ
de,डे
does,कर देता है
set,सेट
under,के अंतर्गत
general,आम
research,अनुसंधान
university,विश्वविद्यालय
january,जनवरी
mail,मेल
full,पूर्ण
map,नक्शा
reviews,समीक्षा
program,कार्यक्रम
life,जिंदगी
know,जानना
games,खेल
way,मार्ग
days,दिन
management,प्रबंध
p,पी
part,अंश
could,सकता है
great,महान
united,संयुक्त
hotel,होटल
real,असली
f,च
item,मद
international,अंतरराष्ट्रीय
center,केन्द्र
ebay,EBAY
must,जरूर
store,दुकान
travel,यात्रा
comments,टिप्पणियाँ
made,बनाया गया
development,विकास
report,रिपोर्ट good
off,बंद
member,सदस्य
details,विवरण
line,लाइन
terms,मामले
before,इससे पहले
hotels,होटल
did,किया
send,भेजने
right,सही
type,प्रकार
because,चूंकि
local,स्थानीय
those,उन
using,का उपयोग करते हुए
results,परिणाम
office,कार्यालय
education,शिक्षा
national,राष्ट्रीय
car,गाड़ी
design,डिज़ाइन
take,लेना
posted,की तैनाती
internet,इंटरनेट
address,पता
community,समुदाय
within,अंदर
states,राज्यों
area,क्षेत्र
want,चाहते हैं
phone,फ़ोन
dvd,डीवीडी
shipping,शिपिंग
reserved,आरक्षित
subject,विषय
between,के बीच
forum,मंच
family,परिवार
l,एल
long,लंबा
based,आधारित
w,w
code,कोड
show,प्रदर्शन
o,हे
even,यहाँ तक की
black,काली
check,जाँच
special,विशेष
prices,कीमतों
website,वेबसाइट
index,सूची
being,किया जा रहा है
women,महिलाओं
much,बहुत
sign,संकेत
file,फ़ाइल
link,संपर्क
open,खुला हुआ
today,आज
technology,प्रौद्योगिकी
south,दक्षिण
case,मामला
project,परियोजना
same,वही
pages,पृष्ठों
uk,यूके
version,संस्करण
section,अनुभाग
own,अपना
found,मिल गया
sports,खेल
house,मकान
related,सम्बंधित
security,सुरक्षा
both,दोनों
g,जी
county,काउंटी
american,अमेरिकन
photo,तस्वीर
game,खेल
members,सदस्यों
power,शक्ति
while,जबकि
care,देखभाल
network,नेटवर्क
down,नीचे
computer,संगणक
systems,प्रणाली
three,तीन
total,संपूर्ण
place,जगह
end,समाप्त
following,निम्नलिखित
download,डाउनलोड
h,एच
him,उसे
without,के बिना
per,प्रति
access,पहुंच
think,सोच
north,उत्तर
resources,साधन
current,वर्तमान
posts,पदों
big,बड़े
media,मीडिया
law,कानून
control,नियंत्रण
water,पानी
history,इतिहास
pictures,चित्रों
size,आकार
art,कला
personal,निजी
since,जबसे
including,समेत
guide,मार्गदर्शक
shop,दुकान
directory,निर्देशिका
board,मंडल
location,स्थान
change,परिवर्तन
white,सफेद
text,टेक्स्ट
small,छोटा
rating,रेटिंग
rate,मूल्यांकन करें
government,सरकार
children,बच्चे
during,दौरान
usa,अमेरीका
return,वापसी
students,छात्रों
v,v
shopping,खरीदारी
account,लेखा
times,बार
sites,साइटों
level,स्तर
digital,डिजिटल
profile,प्रोफ़ाइल
previous,पिछला
form,प्रपत्र
events,आयोजन
love,प्रेम
old,पुराना
john,जॉन
main,मुख्य
call,कॉल
hours,घंटे
image,छवि
department,विभाग
title,शीर्षक
description,विवरण
non,गैर
k,क
y,y
insurance,बीमा
another,एक और
why,क्यों
shall,करेगा
property,संपत्ति
class,कक्षा
cd,सीडी
still,फिर भी
money,पैसे
quality,गुणवत्ता
every,हर एक
listing,लिस्टिंग
content,सामग्री
country,देश
private,निजी
little,थोड़ा
visit,यात्रा
save,सहेजें
tools,उपकरण
low,कम
reply,जवाब दे दो
customer,ग्राहक
december,दिसंबर
compare,तुलना
movies,चलचित्र
include,शामिल
college,कॉलेज
value,मूल्य
article,लेख
york,यॉर्क
man,आदमी
card,कार्ड
jobs,नौकरियां
provide,प्रदान करें
j,जे
food,खाना
source,स्रोत
author,लेखक
different,विभिन्न
press,दबाएँ
u,यू
learn,सीखना
sale,बिक्री
around,चारों ओर
print,प्रिंट
course,कोर्स
job,काम
canada,कनाडा
process,प्रक्रिया
teen,किशोर
room,कक्ष
stock,भण्डार
training,प्रशिक्षण
too,बहुत
credit,श्रेय
point,बिंदु
join,में शामिल होने के
science,विज्ञान
men,पुरुषों
categories,श्रेणियाँ
advanced,उन्नत
west,पश्चिम
sales,बिक्री
look,नज़र
english,अंग्रेज़ी
left,बाएं
team,टीम
estate,जायदाद
box,डिब्बा
conditions,शर्तेँ
select,चुनते हैं
windows,खिड़कियाँ
photos,तस्वीरें
gay,समलैंगिक
thread,थ्रेड
week,सप्ताह
category,वर्ग
note,ध्यान दें
live,लाइव
large,विशाल
gallery,गेलरी
table,टेबल
register,रजिस्टर करें
however,तथापि
june,जून
october,अक्टूबर
november,नवंबर
market,बाजार
library,पुस्तकालय
really,वास्तव में
action,कार्य
start,शुरू
series,श्रृंखला
model,नमूना
features,विशेषताएं
air,वायु
industry,उद्योग
plan,योजना
human,मानव
provided,प्रदान की
tv,टीवी
yes,हाँ
required,अपेक्षित
second,दूसरा
hot,गरम
accessories,सामान
cost,लागत
movie,चलचित्र
forums,मंचों
march,जुलूस
la,ला
september,सितंबर
better,बेहतर
say,कहो
questions,प्रशन
july,जुलाई
yahoo,याहू
going,जा रहा
medical,मेडिकल
test,परीक्षा
friend,मित्र
come,आइए
dec,दिसम्बर
server,सर्वर
pc,पीसी
study,अध्ययन
application,आवेदन
cart,कार्ट
staff,कर्मचारी
articles,सामग्री
san,सैन
feedback,प्रतिपुष्टि
again,फिर
play,खेल
looking,देख
issues,मुद्दे
april,अप्रैल
never,कभी नहीँ
users,उपयोगकर्ताओं
complete,पूर्ण
street,सड़क
topic,विषय
comment,टिप्पणी
financial,वित्तीय
things,चीज़ें
working,काम कर रहे
against,विरुद्ध
standard,मानक
tax,कर
person,व्यक्ति
below,नीचे
mobile,मोबाइल
less,कम से
got,गॉट
blog,ब्लॉग
party,पार्टी
payment,भुगतान
equipment,उपकरण
login,लॉग इन करें
student,छात्र
let,लश्कर
programs,कार्यक्रमों
offers,प्रस्तावों
legal,कानूनी
above,ऊपर
recent,हाल का
park,पार्क
stores,स्टोर
side,पक्ष
act,कार्य
problem,मुसीबत
red,लाल
give,देना
memory,याद
performance,प्रदर्शन
social,सामाजिक
q,क्यू
august,अगस्त
quote,उद्धरण
language,भाषा: हिन्दी
story,कहानी
sell,बेचना
options,विकल्प
experience,अनुभव
rates,दरें
create,सृजन करना
key,चाभी
body,तन
young,युवा
america,अमेरिका
important,जरूरी
field,मैदान
few,कुछ
east,पूर्व
paper,कागज़
single,एक
ii,द्वितीय
age,उम्र
activities,गतिविधियों
club,क्लब
example,उदाहरण
girls,लड़कियाँ
additional,अतिरिक्त
password,कुंजिका
z,जेड
latest,नवीनतम
something,कुछ कुछ
road,सड़क
gift,उपहार
question,सवाल
changes,परिवर्तन
night,रात
ca,सीए
hard,कठिन
texas,टेक्सास
oct,अक्टूबर
pay,वेतन
four,चार
poker,पोकर
status,स्थिति
browse,ब्राउज़
issue,मुद्दा
range,रेंज
building,इमारत
seller,विक्रेता
court,कोर्ट
february,फ़रवरी
always,हमेशा
result,परिणाम
audio,ऑडियो
light,रोशनी
write,लिखो
war,युद्ध
nov,नवम्बर
offer,प्रस्ताव
blue,नीला
groups,समूहों
al,अल
easy,आसान
given,दिया हुआ
files,फ़ाइलें
event,प्रतिस्पर्धा
release,रिहाई
analysis,विश्लेषण
request,निवेदन
fax,फैक्स
china,चीन
making,निर्माण
picture,चित्र
needs,ज़रूरत
possible,मुमकिन
might,पराक्रम
professional,पेशेवर
yet,अभी तक
month,महीना
major,प्रमुख
star,सितारा
areas,क्षेत्रों
future,भविष्य
space,अंतरिक्ष
committee,समिति
hand,हाथ
sun,रवि
cards,पत्ते
problems,समस्या
london,लंडन
washington,वाशिंगटन
meeting,मुलाकात
rss,आरएसएस
become,बनना
interest,ब्याज
id,ईद
child,बच्चा
keep,रखना
enter,दर्ज
california,कैलिफोर्निया
porn,पॉर्न
share,शेयर
similar,समान
garden,बगीचा
schools,स्कूलों
million,दस लाख
added,जोड़ा
reference,संदर्भ
companies,कंपनियों
listed,सूचीबद्ध
baby,बेबी
learning,सीख रहा हूँ
energy,ऊर्जा
run,Daud
delivery,वितरण
net,जाल
popular,लोकप्रिय
term,अवधि
film,फ़िल्म
stories,कहानियों
put,डाल
computers,कंप्यूटर
journal,पत्रिका
reports,रिपोर्टों
co,सीओ
try,प्रयत्न
welcome,स्वागत हे
central,केंद्रीय
images,इमेजिस
president,अध्यक्ष
notice,नोटिस
god,परमेश्वर
original,मूल
head,सिर
radio,रेडियो
until,जब तक
cell,सेल
color,रंग
self,स्वयं
council,परिषद
away,दूर
includes,शामिल
track,धावन पथ
australia,ऑस्ट्रेलिया
discussion,विचार-विमर्श
archive,पुरालेख
once,एक बार
others,अन्य
entertainment,मनोरंजन
agreement,समझौता
format,प्रारूप
least,कम से कम
society,समाज
months,महीने
log,लॉग
safety,सुरक्षा
friends,दोस्त
sure,ज़रूर
faq,सामान्य प्रश्न
trade,व्यापार
edition,संस्करण
cars,कारों
messages,संदेशों
marketing,विपणन
tell,कहना
further,आगे की
updated,अद्यतन
association,संगति
able,योग्य
having,बीत रहा है
provides,प्रदान करता है
david,डेविड
fun,आनंद
already,पहले से
green,हरा
studies,अध्ययन करते हैं
close,बंद करे
common,सामान्य
drive,चलाना
specific,विशिष्ट
several,कई
gold,सोना
feb,फ़रवरी
living,जीवित
sep,सितम्बर
collection,संग्रह
called,बुलाया
short,कम
arts,कला
lot,बहुत
ask,पूछना
display,प्रदर्शन
limited,सीमित
powered,संचालित
solutions,समाधान
means,माध्यम
director,निदेशक
daily,रोज
beach,बीच
past,अतीत
natural,प्राकृतिक
whether,या
due,देय
et,एट
electronics,इलेक्ट्रानिक्स
five,पांच
upon,के ऊपर
period,अवधि
planning,योजना
database,डेटाबेस
says,कहते हैं
official,आधिकारिक
weather,मौसम
mar,मार्च
land,भूमि
average,औसत
done,किया हुआ
technical,तकनीकी
window,खिड़की
france,फ्रांस
pro,समर्थक
region,क्षेत्र
island,द्वीप
record,अभिलेख
direct,प्रत्यक्ष
microsoft,माइक्रोसॉफ्ट
conference,सम्मेलन
environment,वातावरण
records,अभिलेख
st,अनुसूचित जनजाति
district,जिला
calendar,पंचांग
costs,लागत
style,अंदाज
url,यूआरएल
front,सामने
statement,बयान
update,अपडेट करें
parts,पार्ट्स
aug,अगस्त
ever,कभी
downloads,डाउनलोड
early,शीघ्र
miles,मील की दूरी पर
sound,ध्वनि
resource,संसाधन
present,वर्तमान
applications,अनुप्रयोग
either,भी
ago,पूर्व
document,डाक्यूमेंट
word,शब्द
works,काम करता है
material,सामग्री
bill,बिल
apr,अप्रैल
written,लिखा हुआ
talk,बातचीत
federal,संघीय
hosting,मेजबानी
rules,नियमों
final,अंतिम
adult,वयस्क
tickets,टिकट
thing,चीज़
centre,केन्द्र
requirements,आवश्यकताओं को
via,के जरिए
cheap,सस्ता
nude,नंगा
kids,बच्चे
finance,वित्त
TRUE,सच
minutes,मिनट
else,अन्य
